Ligne	Composant	C4	Props	Preuve
3	OrigamAlert	conforme		
4	OrigamApp	conforme		
5	OrigamAppBar	conforme		
6	OrigamAudio	defaut	currentTrackIndex, loopMode, loop, shuffle, autoplay, preload, crossorigin (12 lectures)	forme
7	OrigamAvatar	conforme		
8	OrigamAvatarGroup	conforme		
9	OrigamBadge	conforme		
10	OrigamBlockquote	conforme		
11	OrigamBottomNav	conforme		
12	OrigamBracket	conforme		
13	OrigamBracketCompetitor	conforme		
14	OrigamBracketMatch	conforme		
15	OrigamBracketRound	conforme		
16	OrigamBreadcrumb	conforme		
17	OrigamBreadcrumbDivider	conforme		
18	OrigamBreadcrumbItem	conforme		
19	OrigamBtn	conforme		
20	OrigamBtnGroup	conforme		
21	OrigamBtnToggle	conforme		
22	OrigamCalendar	defaut	view, currentDate — ref(props.view ?? MONTH) l.489	PROUVE
23	OrigamCard	conforme		
24	OrigamCardHeader	conforme		
25	OrigamCardText	conforme		
26	OrigamCarousel	conforme		
27	OrigamCarouselItem	conforme		
28	OrigamChart	conforme		
29	OrigamChartAxis	conforme		
30	OrigamChartBoxPlot	conforme		
31	OrigamChartBullet	conforme		
32	OrigamChartCandlestick	conforme		
33	OrigamChartCartesian	conforme		
34	OrigamChartGauge	conforme		
35	OrigamChartHeatmap	conforme		
36	OrigamChartHoneycomb	conforme		
37	OrigamChartLegend	conforme		
38	OrigamChartMap	conforme		
39	OrigamChartPareto	conforme		
40	OrigamChartPictorial	conforme		
41	OrigamChartPolar	conforme		
42	OrigamChartPolarBar	conforme		
43	OrigamChartPyramid	conforme		
44	OrigamChartRadar	conforme		
45	OrigamChartRangeSelector	conforme		
46	OrigamChartSankey	conforme		
47	OrigamChartSparkline	conforme		
48	OrigamChartStreamgraph	conforme		
49	OrigamChartSunburst	conforme		
50	OrigamChartTooltip	conforme		
51	OrigamChartTreemap	conforme		
52	OrigamChartVariwide	conforme		
53	OrigamChartWordCloud	conforme		
54	OrigamCheckbox	conforme		
55	OrigamCheckboxBtn	conforme		
56	OrigamChip	conforme		
57	OrigamChipGroup	conforme		
58	OrigamClientOnly	conforme		
59	OrigamClipboard	defaut	feedbackDuration — snapshot passe a useClipboard l.127	forme
60	OrigamCode	conforme		
61	OrigamColorPicker	conforme		
62	OrigamColorPickerCanvas	conforme		
63	OrigamColorPickerEdit	conforme		
64	OrigamColorPickerPreview	conforme		
65	OrigamColorPickerSwatches	conforme		
66	OrigamColorPickerField	conforme		
67	OrigamCommandPalette	conforme		
68	OrigamConfirmWrapper	conforme		
69	OrigamContextualMenu	conforme		
70	OrigamCounter	conforme		
71	OrigamDataList	conforme		
72	OrigamDataText	conforme		
73	OrigamDataTitle	conforme		
74	OrigamDataTable	conforme		
75	OrigamDataTableColumnCell	conforme		
76	OrigamDataTableFooter	conforme		
77	OrigamDataTableGroupHeaderRow	conforme		
78	OrigamDataTableHeaderCell	defaut	headerProps — mergeProps(props.headerProps ?? {}) l.111	forme
79	OrigamDataTableHeaders	conforme		
80	OrigamDataTableHeadersCell	conforme		
81	OrigamDataTableHeadersCellMobile	defaut	headerProps — mergeProps(props.headerProps ?? {}) l.238	forme
82	OrigamDataTableRow	conforme		
83	OrigamDataTableRows	conforme		
84	OrigamDatePicker	defaut	month, year — ref(Number(props.month ?? …)) l.190 ; le ref `year` masque aussi props.year (homonyme, famille #372)	PROUVE
85	OrigamDatePickerControls	conforme		
86	OrigamDatePickerHeader	conforme		
87	OrigamDatePickerMonth	conforme		
88	OrigamDatePickerMonths	conforme		
89	OrigamDatePickerYears	conforme		
90	OrigamDatePickerField	conforme		
91	OrigamDefaultsProvider	conforme		
92	OrigamDialog	conforme		
93	OrigamDialogConfirmation	conforme		
94	OrigamDivider	conforme		
95	OrigamDrawer	conforme		
96	OrigamEmptyState	conforme		
97	OrigamExpansionPanel	conforme		
98	OrigamExpansionPanelContent	conforme		
99	OrigamExpansionPanelHeader	conforme		
100	OrigamExpansionPanels	conforme		
101	OrigamField	conforme		
102	OrigamFileField	defaut	multiple — seed du modele l.490	forme
103	OrigamFileFieldDragNDropItem	conforme		
104	OrigamFileFieldListItem	conforme		
105	OrigamForm	conforme		
106	OrigamGrid	conforme		
107	OrigamGridItem	conforme		
108	OrigamCol	conforme		
109	OrigamContainer	conforme		
110	OrigamRow	conforme		
111	OrigamSpacer	conforme		
112	OrigamClassIcon	conforme		
113	OrigamComponentIcon	conforme		
114	OrigamIcon	conforme		
115	OrigamLigatureIcon	conforme		
116	OrigamSvgIcon	conforme		
117	OrigamImg	defaut	eager, options — shallowRef(props.eager ? LOADING : IDLE) l.159	PROUVE
118	OrigamInfiniteScroll	conforme		
119	OrigamInfiniteScrollIntersect	conforme		
120	OrigamInlineEdit	conforme		
121	OrigamInput	conforme		
122	OrigamItemGroupItem	conforme		
123	OrigamItemGroup	conforme		
124	OrigamKbd	conforme		
125	OrigamLabel	conforme		
126	OrigamLayout	conforme		
127	OrigamLazy	conforme		
128	OrigamList	conforme		
129	OrigamListChildren	conforme		
130	OrigamListGroup	conforme		
131	OrigamListGroupActivator	conforme		
132	OrigamListItem	conforme		
133	OrigamListSubheader	conforme		
134	OrigamLoader	conforme		
135	OrigamMain	conforme		
136	OrigamMasonry	conforme		
137	OrigamMediaController	defaut	loopMode, shuffle — ref(props.loopMode ?? none) l.366	forme
138	OrigamMediaScrubber	conforme		
139	OrigamMediaVolumeControl	conforme		
140	OrigamMenu	conforme		
141	OrigamMessages	conforme		
142	OrigamNumberField	conforme		
143	OrigamNumberFormat	conforme		
144	OrigamOtpInputField	conforme		
145	OrigamOverlay	conforme		
146	OrigamOverlayScrim	conforme		
147	OrigamPagination	conforme		
148	OrigamParallax	conforme		
149	OrigamParallaxElement	conforme		
150	OrigamParallaxLayer	conforme		
151	OrigamPasswordField	conforme		
152	OrigamPicker	conforme		
153	OrigamPickerTitle	conforme		
154	OrigamProgress	conforme		
155	OrigamProgressCircular	conforme		
156	OrigamProgressLinear	conforme		
157	OrigamQrCode	conforme		
158	OrigamRadio	conforme		
159	OrigamRadioBtn	conforme		
160	OrigamRadioGroup	conforme		
