Ligne	Composant	C5	Emits declares	Emits sans preuve	Specs ciblantes
3	OrigamAlert	defaut	3	update:hover	11
4	OrigamApp	conforme	0		3
5	OrigamAppBar	defaut	1	update:modelValue	5
6	OrigamAudio	defaut	16	ended error loadedmetadata pause play timeupdate track-change update:currentTrackIndex update:loopMode update:playbackRate volumechange waveform	7
7	OrigamAvatar	defaut	2	update:active update:hover	19
8	OrigamAvatarGroup	defaut	2	update:active update:hover	8
9	OrigamBadge	conforme	2		6
10	OrigamBlockquote	conforme	0		4
11	OrigamBottomNav	defaut	2	update:hover update:modelValue	18
12	OrigamBracket	defaut	3	competitor-click match-click winner-click	6
13	OrigamBracketCompetitor	defaut	2	click update:active	6
14	OrigamBracketMatch	defaut	4	update:active	7
15	OrigamBracketRound	defaut	3	competitor-click match-click winner-click	4
16	OrigamBreadcrumb	conforme	0		8
17	OrigamBreadcrumbDivider	conforme	0		4
18	OrigamBreadcrumbItem	defaut	2	click:append click:prepend	7
19	OrigamBtn	defaut	3	group:selected	77
20	OrigamBtnGroup	conforme	0		10
21	OrigamBtnToggle	conforme	1		5
22	OrigamCalendar	defaut	8	create-event-request event-click navigate range-select update:view view-change	4
23	OrigamCard	defaut	4	click:append click:prepend update:active update:hover	24
24	OrigamCardHeader	defaut	2	click:append click:prepend	4
25	OrigamCardText	conforme	0		3
26	OrigamCarousel	defaut	1	update:modelValue	3
27	OrigamCarouselItem	conforme	0		3
28	OrigamChart	defaut	3	point-click	7
29	OrigamChartAxis	conforme	0		1
30	OrigamChartBoxPlot	defaut	3	legend-click point-click series-toggle	2
31	OrigamChartBullet	defaut	3	legend-click point-click series-toggle	3
32	OrigamChartCandlestick	defaut	3	legend-click point-click series-toggle	3
33	OrigamChartCartesian	defaut	7	drill drill-up legend-click point-click reset-zoom series-toggle zoom	5
34	OrigamChartGauge	conforme	0		2
35	OrigamChartHeatmap	defaut	1	point-click	3
36	OrigamChartHoneycomb	defaut	3	legend-click point-click series-toggle	2
37	OrigamChartLegend	conforme	2		1
38	OrigamChartMap	defaut	1	point-click	4
39	OrigamChartPareto	defaut	3	legend-click point-click series-toggle	3
40	OrigamChartPictorial	defaut	3	legend-click series-toggle	4
41	OrigamChartPolar	defaut	5	drill drill-up legend-click point-click series-toggle	2
42	OrigamChartPolarBar	defaut	3	legend-click point-click series-toggle	2
43	OrigamChartPyramid	defaut	3	legend-click series-toggle	4
44	OrigamChartRadar	defaut	3	legend-click point-click series-toggle	3
45	OrigamChartRangeSelector	conforme	1		2
46	OrigamChartSankey	defaut	3	legend-click point-click series-toggle	2
47	OrigamChartSparkline	defaut	1	point-click	3
48	OrigamChartStreamgraph	defaut	3	legend-click series-toggle	3
49	OrigamChartSunburst	defaut	3	legend-click point-click series-toggle	2
50	OrigamChartTooltip	conforme	0		1
51	OrigamChartTreemap	defaut	3	legend-click point-click series-toggle	4
52	OrigamChartVariwide	defaut	3	legend-click point-click series-toggle	2
53	OrigamChartWordCloud	defaut	3	legend-click point-click series-toggle	4
54	OrigamCheckbox	defaut	3	click:label update:focused	8
55	OrigamCheckboxBtn	defaut	3	click:label update:indeterminate	4
56	OrigamChip	defaut	6	group:selected	27
57	OrigamChipGroup	conforme	1		5
58	OrigamClientOnly	conforme	0		2
59	OrigamClipboard	conforme	2		3
60	OrigamCode	conforme	1		9
61	OrigamColorPicker	defaut	2	update:mode	3
