Ligne	Composant	C7	Raison
3	OrigamAlert	defaut	1 prop(s) sans controle
4	OrigamApp	conforme	
5	OrigamAppBar	conforme	
6	OrigamAudio	defaut	3 prop(s) sans controle, 4 prop(s) sans ligne de doc, 7 emit(s) sans Variant, 9 slot(s) sans Variant
7	OrigamAvatar	defaut	1 prop(s) sans ligne de doc
8	OrigamAvatarGroup	defaut	4 prop(s) sans ligne de doc
9	OrigamBadge	defaut	9 prop(s) sans ligne de doc
10	OrigamBlockquote	conforme	
11	OrigamBottomNav	conforme	
12	OrigamBracket	defaut	1 prop(s) sans controle
13	OrigamBracketCompetitor	defaut	1 prop(s) sans controle
14	OrigamBracketMatch	conforme	
15	OrigamBracketRound	defaut	2 prop(s) sans controle, 1 slot(s) sans Variant
16	OrigamBreadcrumb	defaut	1 slot(s) sans Variant
17	OrigamBreadcrumbDivider	defaut	doc absente
18	OrigamBreadcrumbItem	defaut	doc absente
19	OrigamBtn	defaut	8 prop(s) sans ligne de doc
20	OrigamBtnGroup	defaut	2 prop(s) sans ligne de doc
21	OrigamBtnToggle	conforme	
22	OrigamCalendar	defaut	2 emit(s) sans Variant
23	OrigamCard	defaut	1 prop(s) sans controle, 8 prop(s) sans ligne de doc
24	OrigamCardHeader	defaut	1 prop(s) sans controle, 1 prop(s) sans ligne de doc
25	OrigamCardText	conforme	
26	OrigamCarousel	conforme	
27	OrigamCarouselItem	conforme	
28	OrigamChart	defaut	7 prop(s) sans controle, 6 prop(s) sans ligne de doc
29	OrigamChartAxis	conforme	
30	OrigamChartBoxPlot	defaut	3 prop(s) sans controle, 1 slot(s) sans Variant
31	OrigamChartBullet	defaut	2 prop(s) sans controle, 4 slot(s) sans Variant
32	OrigamChartCandlestick	defaut	2 prop(s) sans controle, 1 slot(s) sans Variant
33	OrigamChartCartesian	defaut	7 prop(s) sans controle, 8 prop(s) sans ligne de doc, 2 emit(s) sans Variant, 1 slot(s) sans Variant
34	OrigamChartGauge	defaut	2 prop(s) sans controle, 5 slot(s) sans Variant
35	OrigamChartHeatmap	defaut	2 prop(s) sans controle, 3 slot(s) sans Variant
36	OrigamChartHoneycomb	defaut	3 prop(s) sans controle, 2 slot(s) sans Variant
37	OrigamChartLegend	defaut	1 slot(s) sans Variant
38	OrigamChartMap	defaut	1 prop(s) sans controle
39	OrigamChartPareto	defaut	3 prop(s) sans controle, 1 slot(s) sans Variant
40	OrigamChartPictorial	defaut	2 prop(s) sans controle, 1 prop(s) sans ligne de doc, 1 slot(s) sans Variant
41	OrigamChartPolar	defaut	3 prop(s) sans controle, 1 prop(s) sans ligne de doc, 1 slot(s) sans Variant
42	OrigamChartPolarBar	defaut	3 prop(s) sans controle, 1 slot(s) sans Variant
43	OrigamChartPyramid	defaut	2 prop(s) sans controle, 2 slot(s) sans Variant
44	OrigamChartRadar	defaut	1 slot(s) sans Variant
45	OrigamChartRangeSelector	defaut	1 prop(s) sans controle
46	OrigamChartSankey	defaut	2 prop(s) sans controle, 5 slot(s) sans Variant
47	OrigamChartSparkline	conforme	
48	OrigamChartStreamgraph	defaut	2 prop(s) sans controle, 1 slot(s) sans Variant
49	OrigamChartSunburst	defaut	1 prop(s) sans controle, 1 slot(s) sans Variant
50	OrigamChartTooltip	conforme	
51	OrigamChartTreemap	defaut	1 prop(s) sans controle, 2 slot(s) sans Variant
52	OrigamChartVariwide	defaut	2 prop(s) sans controle, 4 slot(s) sans Variant
53	OrigamChartWordCloud	defaut	2 prop(s) sans controle, 1 slot(s) sans Variant
54	OrigamCheckbox	defaut	1 emit(s) sans Variant
55	OrigamCheckboxBtn	conforme	
56	OrigamChip	defaut	1 prop(s) sans controle
57	OrigamChipGroup	defaut	3 prop(s) sans controle, 1 prop(s) sans ligne de doc
58	OrigamClientOnly	conforme	
59	OrigamClipboard	conforme	
60	OrigamCode	defaut	1 prop(s) sans controle
61	OrigamColorPicker	defaut	1 prop(s) sans controle, 1 prop(s) sans ligne de doc
62	OrigamColorPickerCanvas	conforme	
63	OrigamColorPickerEdit	defaut	1 prop(s) sans controle
64	OrigamColorPickerPreview	defaut	1 prop(s) sans controle
65	OrigamColorPickerSwatches	conforme	
66	OrigamColorPickerField	defaut	4 prop(s) sans controle
67	OrigamCommandPalette	defaut	1 prop(s) sans controle
68	OrigamConfirmWrapper	defaut	2 prop(s) sans controle, 14 prop(s) sans ligne de doc
69	OrigamContextualMenu	conforme	
70	OrigamCounter	defaut	4 prop(s) sans ligne de doc
71	OrigamDataList	conforme	
72	OrigamDataText	conforme	
73	OrigamDataTitle	conforme	
74	OrigamDataTable	defaut	1 prop(s) sans ligne de doc, 2 emit(s) sans Variant, 7 slot(s) sans Variant
75	OrigamDataTableColumnCell	defaut	5 prop(s) sans ligne de doc
76	OrigamDataTableFooter	defaut	12 prop(s) sans ligne de doc
77	OrigamDataTableGroupHeaderRow	defaut	5 prop(s) sans controle, 2 slot(s) sans Variant
78	OrigamDataTableHeaderCell	defaut	3 prop(s) sans controle, 3 prop(s) sans ligne de doc
79	OrigamDataTableHeaders	conforme	
80	OrigamDataTableHeadersCell	defaut	1 prop(s) sans ligne de doc
81	OrigamDataTableHeadersCellMobile	defaut	1 prop(s) sans controle, 2 prop(s) sans ligne de doc, 21 slot(s) sans Variant
82	OrigamDataTableRow	defaut	2 prop(s) sans controle, 2 prop(s) sans ligne de doc, 2 slot(s) sans Variant
83	OrigamDataTableRows	defaut	2 prop(s) sans controle, 2 emit(s) sans Variant, 5 slot(s) sans Variant
84	OrigamDatePicker	defaut	1 prop(s) sans controle
85	OrigamDatePickerControls	defaut	1 prop(s) sans controle
86	OrigamDatePickerHeader	conforme	
87	OrigamDatePickerMonth	conforme	
88	OrigamDatePickerMonths	defaut	1 slot(s) sans Variant
89	OrigamDatePickerYears	defaut	1 slot(s) sans Variant
90	OrigamDatePickerField	defaut	5 prop(s) sans controle
91	OrigamDefaultsProvider	conforme	
92	OrigamDialog	defaut	5 prop(s) sans ligne de doc, 5 slot(s) sans Variant
93	OrigamDialogConfirmation	defaut	5 slot(s) sans Variant
94	OrigamDivider	conforme	
95	OrigamDrawer	defaut	1 prop(s) sans controle, 14 prop(s) sans ligne de doc
96	OrigamEmptyState	conforme	
97	OrigamExpansionPanel	conforme	
98	OrigamExpansionPanelContent	conforme	
99	OrigamExpansionPanelHeader	conforme	
100	OrigamExpansionPanels	conforme	
101	OrigamField	defaut	9 prop(s) sans ligne de doc
102	OrigamFileField	defaut	10 prop(s) sans controle, 7 prop(s) sans ligne de doc, 6 emit(s) sans Variant
103	OrigamFileFieldDragNDropItem	defaut	1 prop(s) sans controle
104	OrigamFileFieldListItem	defaut	1 prop(s) sans controle
105	OrigamForm	defaut	3 prop(s) sans controle, 1 emit(s) sans Variant
106	OrigamGrid	conforme	
107	OrigamGridItem	defaut	story absente, doc absente
108	OrigamCol	defaut	13 prop(s) sans ligne de doc
109	OrigamContainer	defaut	2 prop(s) sans ligne de doc
110	OrigamRow	defaut	2 prop(s) sans ligne de doc
111	OrigamSpacer	conforme	
112	OrigamClassIcon	conforme	
113	OrigamComponentIcon	conforme	
114	OrigamIcon	conforme	
115	OrigamLigatureIcon	conforme	
116	OrigamSvgIcon	conforme	
117	OrigamImg	defaut	12 prop(s) sans ligne de doc
118	OrigamInfiniteScroll	defaut	2 prop(s) sans ligne de doc
