Composant	Colonne	Avant	Apres	Gravite_avant	Gravite_apres
OrigamAudio	C4	defaut	conforme	majeur	aucun
OrigamBlockquote	C1	defaut	conforme	mineur	aucun
OrigamBlockquote	C7	defaut	conforme	mineur	aucun
OrigamBracketCompetitor	C2	defaut	conforme	mineur	mineur
OrigamBreadcrumbDivider	C7	defaut	conforme	majeur	aucun
OrigamCalendar	C6	defaut	conforme	majeur	aucun
OrigamCalendar	C7	defaut	conforme	majeur	aucun
OrigamCardText	C2	defaut	conforme	mineur	aucun
OrigamChart	C7	defaut	conforme	majeur	aucun
OrigamChartAxis	C7	defaut	conforme	majeur	aucun
OrigamChartSparkline	C5	defaut	conforme	majeur	majeur
OrigamCode	C2	defaut	conforme	majeur	aucun
OrigamColorPickerCanvas	C6	defaut	conforme	mineur	aucun
OrigamDataTable	C5	defaut	conforme	majeur	aucun
OrigamDataTableHeaderCell	C1	defaut	conforme	mineur	aucun
OrigamDataTableHeaderCell	C4	defaut	conforme	mineur	aucun
OrigamDrawer	C7	defaut	conforme	majeur	aucun
OrigamExpansionPanelContent	C5	defaut	conforme	mineur	mineur
OrigamExpansionPanelHeader	C5	defaut	conforme	mineur	aucun
OrigamField	C7	defaut	conforme	majeur	aucun
OrigamGridItem	C7	defaut	conforme	mineur	aucun
OrigamCol	C7	defaut	conforme	majeur	aucun
OrigamSvgIcon	C7	defaut	conforme	mineur	aucun
OrigamImg	C4	defaut	conforme	mineur	mineur
OrigamItemGroupItem	C5	defaut	conforme	mineur	mineur
OrigamLabel	C1	defaut	conforme	mineur	aucun
OrigamLabel	C6	defaut	conforme	mineur	aucun
OrigamLabel	C7	defaut	conforme	mineur	aucun
OrigamParallaxElement	C7	defaut	conforme	majeur	aucun
OrigamPasswordField	C5	defaut	conforme	mineur	aucun
OrigamPickerTitle	C2	conforme	defaut	aucun	mineur
OrigamRadioBtn	C5	defaut	conforme	mineur	aucun
OrigamRatingFieldItem	C5	defaut	conforme	mineur	aucun
OrigamSelectionControl	C5	defaut	conforme	mineur	aucun
OrigamSelectionControl	C7	defaut	conforme	mineur	aucun
OrigamSheet	C5	defaut	conforme	mineur	aucun
OrigamSheet	C6	defaut	conforme	mineur	aucun
OrigamSheet	C7	defaut	conforme	mineur	aucun
OrigamSheet	C8	defaut	conforme	mineur	aucun
OrigamSnackbarGroup	C3	defaut	conforme	mineur	aucun
OrigamSnackbarGroup	C4	defaut	conforme	mineur	aucun
OrigamSnackbarGroup	C8	defaut	conforme	mineur	aucun
OrigamSnackbarItem	C2	conforme	defaut	aucun	mineur
OrigamStepper	C4	defaut	conforme	mineur	aucun
OrigamSwitchTrack	C2	defaut	conforme	mineur	aucun
OrigamTreeview	C4	defaut	conforme	mineur	mineur
OrigamTreeviewNode	C8	defaut	conforme	mineur	aucun
